순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,체리새우 :황영미 장편소설 ,지은이: 황영미,문학동네,2019,,9788954654753,3810,813.7,34,남자,청소년(14~19세),제주
2,"Classic Starts(r) Anne of Green Gables (Hardcover, Revised)","루시 모드 몽고메리, Kathleen Olmstead (지은이)",Sterling,2005,2,9781402711305,50495,,19,남자,청소년(14~19세),제주
3,아몬드손원평 장편소설,손원평,창비,2017,,9788936434267,3810,813.7,16,남자,청소년(14~19세),제주
3,첫 파이썬 :만화와 그림으로 '코딩 왕초보' 탈출! ,엘리스 코딩 지음,이지스퍼블리싱,2020,,9791163031567,13000,5.133,16,남자,청소년(14~19세),제주
3,(청소년을 위한) AI 최강의 수업 ,"김진형,김태년 지음",매경출판,2021,,9791164843299,3550,4.7,16,남자,청소년(14~19세),제주
6,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,,9788972756194,3830,833.6,14,남자,청소년(14~19세),제주
6,달러구트 꿈 백화점 :이미예 장편소설,지은이: 이미예,팩토리나인,2021,2,9791165343729,3810,813.7,14,남자,청소년(14~19세),제주
8,Classic Starts(r) a Little Princess (Hardcover),"프랜시스 호지슨 버넷, Tania Zamorsky (지은이)",Sterling,2005,7,9781402712753,50495,,13,남자,청소년(14~19세),제주
8,더 위험한 과학책 :지구인이라면 반드시 봐야 할 허를 찌르는 일상 속 과학 원리들 ,랜들 먼로 지음 ;이강환 옮김,시공사,2020,,9788952751546,3400,400,13,남자,청소년(14~19세),제주
8,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9791161571188,3810,813.7,13,남자,청소년(14~19세),제주
8,미적분의 쓸모 :미래를 예측하는 새로운 언어 ,한화택 지음,길벗,2021,,9791165215491,3410,414,13,남자,청소년(14~19세),제주
12,페인트 :이희영 장편소설 ,지은이: 이희영,창비,2019,,9788936456894,43810,813.7,12,남자,청소년(14~19세),제주
12,톰 소여의 모험,[written by] Mark Twain;retold by Joshua Snyder,Thetext,2006,13,9788992228138,740,747.2,12,남자,청소년(14~19세),제주
14,푸른 늑대의 파수꾼 :김은진 장편소설 ,지은이: 김은진,창비,2016,,9788936456726,,813.7,11,남자,청소년(14~19세),제주
14,달러구트 꿈 백화점 :이미예 장편소설,지은이: 이미예,팩토리나인,2020,,9791165341909,3810,813.7,11,남자,청소년(14~19세),제주
14,걸리버 여행기 ,조너선 스위프트 ;이종인 옮김,현대지성,2019,,9791187142966,3840,843.3,11,남자,청소년(14~19세),제주
14,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,,9791190090018,3810,813.7,11,남자,청소년(14~19세),제주
14,미드나잇 라이브러리 ,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,,9791191056556,3840,843.6,11,남자,청소년(14~19세),제주
14,쓰레기책 :왜 지구의 절반은 쓰레기로 뒤덮이는가 ,이동학 지음,Odos(오도스),2020,,9791196852900,3300,539.42,11,남자,청소년(14~19세),제주
20,"Classic Starts(r) the Adventures of Sherlock Holmes (Hardcover, Revised)","아서 코난 도일, Chris Sasaki (지은이)",Sterling,2005,6,9781402712173,,,10,남자,청소년(14~19세),제주
20,위험한 과학책 :지구 생활자들의 엉뚱한 질문에 대한 과학적 답변 ,랜들 먼로 지음 ;이지연 옮김,시공사,2015,,9788952773326,3400,400,10,남자,청소년(14~19세),제주
