순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,이어령의 마지막 수업 ,김지수 지음,열림원,2021,,9791170400523,3100,199.1,38,여자,60세 이상,광주
2,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9788970129822,4840,843.6,34,여자,60세 이상,광주
3,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,1,9788965746829,4810,813.62,27,여자,60세 이상,광주
3,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,1,9788970129815,4840,843.6,27,여자,60세 이상,광주
5,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,,9788954682152,3810,813.62,25,여자,60세 이상,광주
5,풀꽃도 꽃이다 :조정래 장편소설,지은이: 조정래,해냄,2016,1,9788965745617,4810,813.62,25,여자,60세 이상,광주
7,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,1,9788973378319,4810,813.6,23,여자,60세 이상,광주
8,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,2,9788973378326,4810,813.6,22,여자,60세 이상,광주
8,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,2022,,9791191114225,3810,813.62,22,여자,60세 이상,광주
10,아버지에게 갔었어 :신경숙 장편소설 ,지은이: 신경숙,창비,2021,,9788936434465,3810,813.62,21,여자,60세 이상,광주
10,풀꽃도 꽃이다 :조정래 장편소설,지은이: 조정래,해냄,2016,2,9788965745624,4810,813.62,21,여자,60세 이상,광주
10,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,2,9788965746836,4810,813.62,21,여자,60세 이상,광주
10,거꾸로 읽는 세계사 ,유시민 지음,돌베개,2021,,9791191438406,3900,909,21,여자,60세 이상,광주
14,모래알만 한 진실이라도 :박완서 에세이 ,지은이: 박완서,세계사 컨텐츠 그룹,2020,,9788933871553,3810,814.62,20,여자,60세 이상,광주
14,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,3,9788965746843,4810,813.62,20,여자,60세 이상,광주
14,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,3,9788973378333,4810,813.6,20,여자,60세 이상,광주
17,저만치 혼자서 :김훈 소설 ,지은이: 김훈,문학동네,2022,,9788954686921,3810,813.62,19,여자,60세 이상,광주
18,스스로 행복하라 :큰글자책 ,글: 법정,샘터(샘터사),2020,,9788946421264,3810,814.62,18,여자,60세 이상,광주
19,가재가 노래하는 곳 :델리아 오언스 장편소설 ,지은이: 델리아 오언스 ;옮긴이: 김선형,살림출판사,2019,,9788952240569,3840,843.6,16,여자,60세 이상,광주
19,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,,9788954681179,3810,813.7,16,여자,60세 이상,광주
19,(오은영의) 화해 :상처받은 내면의 나와 마주하는 용기 ,오은영 지음,대성,2019,,9788997396870,3180,189.2,16,여자,60세 이상,광주
19,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9791161571188,3810,813.7,16,여자,60세 이상,광주
19,그럼에도 불구하고 :공지영의 섬진 산책 ,지은이: 공지영,위즈덤하우스,2020,,9791191119305,3810,814.62,16,여자,60세 이상,광주
19,다정한 것이 살아남는다 ,"지은이: 브라이언 헤어,옮긴이: 이민아",디플롯,2021,,9791197413025,3400,182.4,16,여자,60세 이상,광주
19,백년허리 :백년 동안 간직할 허리 사용설명서 ,저자: 정선근,언탱글링,2021,2,9791197437311,3510,514.325,16,여자,60세 이상,광주
26,유럽도시기행,지은이: 유시민,아름다운사람들,2019,1,9788965135586,3900,982.02,15,여자,60세 이상,광주
26,당신이 옳다 :정혜신의 적정심리학 ,지은이: 정혜신,해냄,2018,,9788965746669,3180,189,15,여자,60세 이상,광주
26,방구석 미술관:가볍고 편하게 시작하는 유쾌한 교양 미술,조원재 지음;위키피디아 본문사진,백도씨,,,9788968332265,,650.4,15,여자,60세 이상,광주
26,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9791167370280,3810,813.7,15,여자,60세 이상,광주
26,(정신과 의사가 알려주는) 외우지 않는 기억술 :외우지 말고 명령하라! 뇌가 알아서 기억한다! ,가바사와 시온 지음 ;박성민 옮김,라의눈,2017,,9791186039717,13320,181.4,15,여자,60세 이상,광주
26,동남아시아사 =창의적인 수용과 융합의 2천년사 /A new history of Southeast Asia ,소병국 지음,책과함께,2020,,9791188990566,3910,914,15,여자,60세 이상,광주
26,늙는다는 착각 :하버드 심리학 거장이 전하는 건강하고 지혜롭게 사는 법 ,엘렌 랭어 지음 ;변용란 옮김,유노콘텐츠그룹,2022,,9791190826976,3180,183.7,15,여자,60세 이상,광주
33,너의 말이 좋아서 밑줄을 그었다 :림태주 에세이 ,지은이: 림태주,웅진씽크빅,2021,,9788901253060,3810,818,14,여자,60세 이상,광주
33,유럽도시기행,지은이: 유시민,아름다운사람들,2019,2,9788965137702,3900,982.02,14,여자,60세 이상,광주
33,구르미 그린 달빛 :윤이수 장편소설 ,글: 윤이수 ;그림: 김희경,열림원,2015,3,9788970638713,4810,813.7,14,여자,60세 이상,광주
33,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,4,9788973378340,4810,813.6,14,여자,60세 이상,광주
33,중국 그리고 화교,스털링 시그레이브 지음;원경주 옮김,프리미엄북스,2002,,9788986145687,3320,322.95,14,여자,60세 이상,광주
33,꿀벌 아피스의 놀라운 35일 ,글: 캔디스 플레밍 ;옮긴이: 이지유,책읽는곰,2021,,9791158362294,74490,495,14,여자,60세 이상,광주
33,인생 우화,류시화,연금술사,,,9791186686478,,813.8,14,여자,60세 이상,광주
40,남아 있는 시간을 위하여:100세 철학자의 대표산문선,김형석,김영사,,,9788934998990,,104,13,여자,60세 이상,광주
