순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,이순신의 바다 :그 바다는 무엇을 삼켰나 ,지은이: 황현필 ;일러스트: 권동현,역바연,2021,,9791197693007,3910,911.0553,37,남자,50대,광주
2,오십에 읽는 논어 :굽이치는 인생을 다잡아 주는 공자의 말 ,최종엽 지음,유노북스,2021,,9791190826839,3140,148.3,35,남자,50대,광주
2,거꾸로 읽는 세계사 ,유시민 지음,돌베개,2021,,9791191438406,3900,909,35,남자,50대,광주
4,(대한민국 최고 투자자 주식농부의) 주식투자 절대 원칙 ,박영옥 지음,센시오,2021,,9791166570421,3320,327.856,33,남자,50대,광주
5,이어령의 마지막 수업 ,김지수 지음,열림원,2021,,9791170400523,3100,199.1,26,남자,50대,광주
6,채식주의자:한강 연작소설,한강,창비,2007,,9788936433598,3810,813.6,25,남자,50대,광주
6,고구려 :김진명 역사소설,지은이: 김진명,이타(이타북스),2021,7,9791197063275,4810,813.62,25,남자,50대,광주
8,안전심리 =Psychology of safety ,정진우 지음,청문각출판,2017,,9788963643052,93530,189.7,23,남자,50대,광주
8,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,1,9788965746829,4810,813.62,23,남자,50대,광주
8,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9788970129822,4840,843.6,23,남자,50대,광주
8,아직 오지 않은 날들을 위하여 :세계적 지성이 전하는 나이듦의 새로운 태도 ,파스칼 브뤼크네르 지음 ;이세진 옮김,인플루엔셜,2021,,9791168340039,3100,199.7,23,남자,50대,광주
12,나의 투자는 새벽 4시에 시작된다 :3년 만에 300억으로 돌아온 유목민의 투자 인사이트 ,유목민 지음,웅진씽크빅,2022,,9788901259703,3320,327.856,22,남자,50대,광주
12,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,,9788934972464,3900,909,22,남자,50대,광주
12,나는 불안할 때 논어를 읽는다 :불안함이 요동치는 인생을 위로할 최고의 고전! ,판덩 지음 ;이서연 옮김,다빈치하우스,2022,,9791158741426,3100,148.3,22,남자,50대,광주
15,강방천의 관점 :주식투자 대가가 가치를 찾는 법 ,강방천 지음,한국경제신문 한경BP,2021,,9788947546980,3320,327.856,21,남자,50대,광주
15,저만치 혼자서 :김훈 소설 ,지은이: 김훈,문학동네,2022,,9788954686921,3810,813.62,21,남자,50대,광주
15,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 ,마이클 샌델 지음 ;함규진 옮김,미래엔,2020,,9791164136452,3300,332.6,21,남자,50대,광주
18,나는 주식 대신 달러를 산다 :성공률 100% 투자자의 기발한 파이프라인 ,박성현 지음,RHK(알에이치코리아),2021,,9788925588636,3320,327.8,20,남자,50대,광주
18,(중국의 역사)史記,요코야마 미쓰테루 지음;채영호 옮김,대현출판사,1999,,9788940403013,7820,912.03,20,남자,50대,광주
18,(총성 없는 전쟁을 위한) 군사심리학 =The military psychology ,"지은이: 송경재,이종형",학지사,2017,,9788999712166,93180,390.18,20,남자,50대,광주
