순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,,9791191824001,3810,813.7,140,여자,50대,울산
2,순례 주택 :유은실 소설 ,지은이: 유은실,비룡소,2021,,9788949123493,44800,813.7,134,여자,50대,울산
3,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,,9788954672214,3810,813.7,100,여자,50대,울산
4,사이에 대하여 :최민자 수필집 ,최민자,연암서가,2021,,9791160870794,3810,814.7,82,여자,50대,울산
5,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9791161571188,3810,813.7,77,여자,50대,울산
6,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,,9791197377143,3810,813.7,65,여자,50대,울산
7,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9791167370280,3810,813.7,64,여자,50대,울산
8,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,,9788954681179,3810,813.7,62,여자,50대,울산
9,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,1,9788970129815,4840,843.6,61,여자,50대,울산
10,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9788970129822,4840,843.6,56,여자,50대,울산
10,달러구트 꿈 백화점 :이미예 장편소설,지은이: 이미예,팩토리나인,2020,,9791165341909,3810,813.7,56,여자,50대,울산
10,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,2022,,9791191114225,3810,813.62,56,여자,50대,울산
13,다산의 마지막 습관 :기본으로 돌아간다는 것 ,조윤제 지음,청림출판,2020,,9788935213344,3100,151.581,50,여자,50대,울산
14,아몬드손원평 장편소설,손원평,창비,2017,,9788936434267,3810,813.7,49,여자,50대,울산
14,이어령의 마지막 수업 ,김지수 지음,열림원,2021,,9791170400523,3100,199.1,49,여자,50대,울산
