순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,4,9791164134847,77810,810,139,남자,초등(8~13세),인천
2,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,3,9791164134267,77810,810,129,남자,초등(8~13세),인천
3,설민석의 한국사 대모험 18 - 후삼국 편 : 온달의 기묘한 시간 여행,"설민석, 스토리박스 (지은이), 정현희 (그림), 강석화 (감수)",아이휴먼,2021,18,9791165382988,,,127,남자,초등(8~13세),인천
4,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스 미디어그룹,2016,6,9791162202425,67400,408,126,남자,초등(8~13세),인천
4,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,6,9791164136261,77810,810,126,남자,초등(8~13세),인천
6,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,2,9791164132454,77810,810,125,남자,초등(8~13세),인천
7,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,16,9791165382841,74910,911,124,남자,초등(8~13세),인천
8,놓지 마 과학! 7 - 정신이 모험에 정신 놓다,신태훈|나승훈,위즈덤하우스,2018,7,9791162205624,67400,400,122,남자,초등(8~13세),인천
8,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스 미디어그룹,2016,13,9791190630184,67400,408,122,남자,초등(8~13세),인천
10,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,1,9791164131686,77810,810,120,남자,초등(8~13세),인천
10,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스 미디어그룹,2016,11,9791190182737,67400,408,120,남자,초등(8~13세),인천
12,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스 미디어그룹,2016,3,9788960863163,67400,408,119,남자,초등(8~13세),인천
13,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,49,9788950989804,77720,711.4,118,남자,초등(8~13세),인천
14,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스 미디어그룹,2016,4,9788960863545,67400,408,117,남자,초등(8~13세),인천
14,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스 미디어그룹,2016,14,9791190908184,67400,408,117,남자,초등(8~13세),인천
16,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,7,9791164137527,77810,810,116,남자,초등(8~13세),인천
17,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,50,9788950993153,77720,711.4,114,남자,초등(8~13세),인천
