순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,1,9788965746829,4810,813.62,292,남자,60세 이상,서울
2,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,2,9788965746836,4810,813.62,242,남자,60세 이상,서울
3,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,3,9788965746843,4810,813.62,230,남자,60세 이상,서울
4,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9788970129822,4840,843.6,228,남자,60세 이상,서울
5,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,1,9788970129815,4840,843.6,198,남자,60세 이상,서울
6,저만치 혼자서 :김훈 소설 ,지은이: 김훈,문학동네,2022,,9788954686921,3810,813.62,196,남자,60세 이상,서울
7,바이러스 X :김진명 장편소설 ,지은이: 김진명,이타북스,2020,,9791190991070,3810,813.62,184,남자,60세 이상,서울
8,"지리의 힘 :지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가 ",지은이: 팀 마샬 ;옮긴이: 김미선,사이,2016,,9788993178692,3300,340.98,182,남자,60세 이상,서울
9,백조와 박쥐 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2021,,9791190885928,3830,833.6,178,남자,60세 이상,서울
10,이어령의 마지막 수업 ,김지수 지음,열림원,2021,,9791170400523,3100,199.1,177,남자,60세 이상,서울
11,고구려 :김진명 역사소설,지은이: 김진명,이타(이타북스),2021,7,9791197063275,4810,813.62,176,남자,60세 이상,서울
12,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,1,9788973378319,4810,813.6,169,남자,60세 이상,서울
13,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,,9788934972464,3900,909,167,남자,60세 이상,서울
14,늙는다는 착각 :하버드 심리학 거장이 전하는 건강하고 지혜롭게 사는 법 ,엘렌 랭어 지음 ;변용란 옮김,유노콘텐츠그룹,2022,,9791190826976,3180,183.7,162,남자,60세 이상,서울
15,객주 :김주영 장편소설,지은이: 김주영,문학동네,2013,1,9788954621083,4810,813.62,156,남자,60세 이상,서울
16,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,1,9788973377947,4810,813.6,154,남자,60세 이상,서울
17,직지 :김진명 장편소설 ,지은이: 김진명,쌤앤파커스,2019,1,9788965708322,4810,813.62,153,남자,60세 이상,서울
18,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,,9788954682152,3810,813.62,151,남자,60세 이상,서울
19,토지 :박경리 대하소설,지은이: 박경리,마로니에북스,2012,1,9788960532410,4810,813.6,147,남자,60세 이상,서울
20,직지 :김진명 장편소설 ,지은이: 김진명,쌤앤파커스,2019,2,9788965708339,4810,813.62,146,남자,60세 이상,서울
20,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,2,9788973378326,4810,813.6,146,남자,60세 이상,서울
22,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,2,9788973377954,4810,813.6,145,남자,60세 이상,서울
23,"지리의 힘 :지리는 어떻게 나라의 운명을, 세계의 분쟁을, 우리의 선택을 좌우하는가",지은이: 팀 마샬 ;옮긴이: 김미선,사이,2022,2,9788993178982,3300,340.98,142,남자,60세 이상,서울
23,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9791161571188,3810,813.7,142,남자,60세 이상,서울
25,(趙廷來 大河小說) 아리랑,趙廷來,해냄출판사,2007,1,9788973378050,4810,813.6,141,남자,60세 이상,서울
26,객주 :김주영 장편소설,지은이: 김주영,문학동네,2013,2,9788954621090,4810,813.62,138,남자,60세 이상,서울
27,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,3,9788973378333,4810,813.6,137,남자,60세 이상,서울
28,미중전쟁 :김진명 장편소설 ,지은이: 김진명,쌤앤파커스,2017,2,9788965705468,4810,813.62,135,남자,60세 이상,서울
28,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,3,9788973377961,4810,813.6,135,남자,60세 이상,서울
30,허상의 어릿광대,"히가시노 게이고 (지은이), 김난주 (옮긴이)",재인,2021,,9788990982940,,,134,남자,60세 이상,서울
30,전념 :나와 세상을 바꾸는 힘에 관하여 ,피트 데이비스 지음 ;신유희 옮김,상상스퀘어,2022,,9791197549335,3300,199.1,134,남자,60세 이상,서울
32,미중전쟁 :김진명 장편소설 ,지은이: 김진명,쌤앤파커스,2017,1,9788965705451,4810,813.62,130,남자,60세 이상,서울
32,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,4,9788973378340,4810,813.6,130,남자,60세 이상,서울
34,하얼빈 :김훈 장편소설 ,지은이: 김훈,문학동네,2022,,9788954699914,3810,813.62,129,남자,60세 이상,서울
35,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,8,9788973378388,4810,813.6,128,남자,60세 이상,서울
36,토지 :박경리 대하소설,지은이: 박경리,마로니에북스,2012,2,9788960532427,4810,813.6,127,남자,60세 이상,서울
36,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,9,9788973378395,4810,813.6,127,남자,60세 이상,서울
36,거꾸로 읽는 세계사 ,유시민 지음,돌베개,2021,,9791191438406,3900,909,127,남자,60세 이상,서울
39,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,4,9788973377978,4810,813.6,126,남자,60세 이상,서울
39,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,5,9788973378357,4810,813.6,126,남자,60세 이상,서울
41,철도원 삼대 :황석영 장편소설 ,지은이: 황석영,창비,2020,,9788936434434,3810,813.62,125,남자,60세 이상,서울
41,김형석의 인생문답 :100명의 질문에 100년의 지혜로 답하다 ,지은이: 김형석,교학사,2022,,9791188632039,3190,199.1,125,남자,60세 이상,서울
43,연필로 쓰기 :김훈 산문 ,지은이: 김훈,문학동네,2019,,9788954655699,3810,814.62,124,남자,60세 이상,서울
43,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,10,9788973378401,4810,813.6,124,남자,60세 이상,서울
45,우리는 지금 문학이 필요하다 :문학 작품에 숨겨진 25가지 발명품 ,앵거스 플레처 지음 ;박미경 옮김,로크미디어,2021,,9791135472176,3180,809,123,남자,60세 이상,서울
45,(대한민국 최고 투자자 주식농부의) 주식투자 절대 원칙 ,박영옥 지음,센시오,2021,,9791166570421,3320,327.856,123,남자,60세 이상,서울
47,(趙廷來 大河小說) 아리랑,趙廷來,해냄출판사,2007,2,9788973378067,4810,813.6,121,남자,60세 이상,서울
48,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,10,9788973378036,4810,813.6,120,남자,60세 이상,서울
48,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9791167370280,3810,813.7,120,남자,60세 이상,서울
50,객주 :김주영 장편소설,지은이: 김주영,문학동네,2013,3,9788954621106,4810,813.62,119,남자,60세 이상,서울
50,토지 :박경리 대하소설,지은이: 박경리,마로니에북스,2012,4,9788960532441,4810,813.6,119,남자,60세 이상,서울
50,"70세가 노화의 갈림길 :젊음을 지속하는 사람, 단번에 늙어버리는 사람의 차이 ",와다 히데키 지음 ;이주관 옮김,청홍,2022,,9788965020004,3510,511.1687,119,남자,60세 이상,서울
50,풀꽃도 꽃이다 :조정래 장편소설,지은이: 조정래,해냄,2016,1,9788965745617,4810,813.62,119,남자,60세 이상,서울
