순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,성별,연령,지역
1,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9791161571188,3810,813.7,164,남자,50대,부산
2,순례 주택 :유은실 소설 ,지은이: 유은실,비룡소,2021,,9788949123493,44800,813.7,110,남자,50대,부산
3,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,,9788934972464,3900,909,98,남자,50대,부산
4,오십에 읽는 논어 :굽이치는 인생을 다잡아 주는 공자의 말 ,최종엽 지음,유노북스,2021,,9791190826839,3140,148.3,95,남자,50대,부산
5,(대한민국 최고 투자자 주식농부의) 주식투자 절대 원칙 ,박영옥 지음,센시오,2021,,9791166570421,3320,327.856,91,남자,50대,부산
6,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9788970129822,4840,843.6,89,남자,50대,부산
7,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,1,9788970129815,4840,843.6,87,남자,50대,부산
8,종목 선정 :나에게 물어봐 ,지은이: 김정수,하움출판사,2021,,9791164408580,3320,327.856,77,남자,50대,부산
9,"총, 균, 쇠 ",재레드 다이아몬드 지음 ;김진준 옮김,문학사상,2013,,9788970128856,3900,389,76,남자,50대,부산
10,(박병창의 돈을 부르는) 매매의 기술 ,박병창 지음,콘텐츠그룹 포레스트,2021,,9791191347180,3320,327.856,74,남자,50대,부산
11,(허영만의) 주식 타짜 :대한민국 주식 고수 7인의 투자 전략 ,글·그림: 허영만,가디언,2020,,9791189159665,13320,327.856,73,남자,50대,부산
12,하얼빈 :김훈 장편소설 ,지은이: 김훈,문학동네,2022,,9788954699914,3810,813.62,71,남자,50대,부산
13,(강방천&존리와 함께하는) 나의 첫 주식 교과서 :기본부터 제대로 배우는 평생 투자의 원칙 ,"지은이: 강방천,일러스트: 정민영",Page2(페이지2북스),2021,,9791190977326,3320,327.856,70,남자,50대,부산
14,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,1,9788965746829,4810,813.62,67,남자,50대,부산
15,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호,Snowfox(스노우폭스북스),2020,,9791188331796,3320,327.04,65,남자,50대,부산
16,이어령의 마지막 수업 ,김지수 지음,열림원,2021,,9791170400523,3100,199.1,64,남자,50대,부산
16,거꾸로 읽는 세계사 ,유시민 지음,돌베개,2021,,9791191438406,3900,909,64,남자,50대,부산
18,허상의 어릿광대,"히가시노 게이고 (지은이), 김난주 (옮긴이)",재인,2021,,9788990982940,,,63,남자,50대,부산
18,우리가 인생이라 부르는 것들 - 자기 삶의 언어를 찾는 열네 번의 시 강의,정재찬 지음,인플루엔셜,2020,,9791189995539,3810,811.6209,63,남자,50대,부산
18,사경인의 친절한 투자 과외 :내가 없어도 투자를 이어갈 가족을 위해 진심으로 전하는 투자 이야기 ,"사경인,이지영 지음",Page2(페이지2북스),2021,,9791190977418,3320,327.856,63,남자,50대,부산
18,돈의 심리학 :당신은 왜 부자가 되지 못했는가 ,모건 하우절 지음 ;이지연 옮김,인플루엔셜,2021,,9791191056372,3320,327.04,63,남자,50대,부산
22,달러구트 꿈 백화점 :이미예 장편소설,지은이: 이미예,팩토리나인,2020,,9791165341909,3810,813.7,62,남자,50대,부산
22,백조와 박쥐 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2021,,9791190885928,3830,833.6,62,남자,50대,부산
24,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9791167370280,3810,813.7,61,남자,50대,부산
24,"개미 5년, 세후 55억 :가장이기에 투자에 진심인 어느 아빠의 주식투자 이야기 ",성현우 지음,모루(모루북스),2021,,9791197001932,3320,327.856,61,남자,50대,부산
26,투자의 본질 =The essentials of investment ,박세익 지음,위너스북,2021,,9791189352424,13320,327.856,59,남자,50대,부산
