,userInfo,서명
73,남자20대대구800,불편한 편의점 :김호연 장편소설 
74,남자20대대구900,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 "
75,남자20대대구900,역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰 
76,남자20대대전000,(Do it!) HTML+CSS+자바스크립트 웹 표준의 정석 :한 권으로 끝내는 웹 기본 교과서 
77,남자20대대전000,(비전공자를 위한 이해할 수 있는) IT 지식 
78,남자20대대전000,프리미어 프로 CC 2020 =무작정 따라하기 /Premiere Pro CC 2020 
79,남자20대대전000,"(팀 개발을 위한) Git, GitHub 시작하기 :소스코드 버전 관리를 위한 깃·깃허브, 오픈소스 참여 "
80,남자20대대전000,(Do it!) 점프 투 파이썬 
81,남자20대대전100,12가지 인생의 법칙 :혼돈의 해독제 
82,남자20대대전100,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 
83,남자20대대전100,"정리하는 뇌 :디지털 시대, 정보와 선택 과부하로 뒤엉킨 머릿속과 일상을 정리하는 기술 "
84,남자20대대전100,"자존감 수업 :하루에 하나, 나를 사랑하게 되는 자존감 회복 훈련 "
85,남자20대대전100,틸리 서양철학사 :소크라테스와 플라톤부터 니체와 러셀까지 
86,남자20대대전200,그리스-로마 종교와 신약성서 :그리스도교의 기원에 대한 사상사 =Greco-Roman religion and the New Testament : the history of ideas on Christian origins 
87,남자20대대전300,부의 인문학 :슈퍼리치의 서재에서 찾아낸 부자의 길 
88,남자20대대전300,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 
89,남자20대대전300,럭키 드로우 =나만의 길을 찾을 때까지 인생의 레버를 당기는 법 /Lucky draw 
90,남자20대대전300,언스크립티드 :부의 추월차선 완결판 
91,남자20대대전300,팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유 
92,남자20대대전400,코스모스 :특별판 
93,남자20대대전500,오무라이스 잼잼 - 경이로운 일상음식 이야기
94,남자20대대전500,"인스타 브레인 =몰입을 빼앗긴 시대, 똑똑한 뇌 사용법 /Insta brain "
95,남자20대대전500,식객 3 - 소고기 전쟁
96,남자20대대전500,공간이 만든 공간 :새로운 생각은 어떻게 만들어지는가 
97,남자20대대전500,당신의 뇌는 최적화를 원한다 :지금 당신의 뇌는 최상의 컨디션인가? 
98,남자20대대전600,(4단 합체!) 퍼펙트 미니카 종이접기 
99,남자20대대전600,스피드 미니카 종이접기 
100,남자20대대전600,(모든 그림 그리는 이들을 위한) 석가의 해부학 노트 =Stonehouse's anatomy note 
